epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,243.138,1.06957,10.1549,0.69917,1.044,1.42769,0.95137,0.94244,0.98156,0.77601,0,0,0,0,0.842,9.15705,0.60951,0.45937,1.19641,0.00993056,0.00331019,0.00993056,0.00331019,0.00993056,0.00331019,0.00993056,0.00331019
2,474.884,0.82958,7.71604,0.65615,0.56051,1.20365,0.93749,0.87338,0.9348,0.71169,0.19699,0.12616,0.03625,0.00534,0.94795,7.14623,0.4229,0.62116,1.33592,0.0197332,0.00657775,0.0197332,0.00657775,0.0197332,0.00657775,0.0197332,0.00657775
3,703.087,0.87263,6.41835,0.59265,0.60547,1.2266,0.85875,0.83287,0.89316,0.66566,0.34707,0.30317,0.16672,0.02799,1.01349,6.50088,0.32335,2.4263,1.47681,0.0293379,0.00977931,0.0293379,0.00977931,0.0293379,0.00977931,0.0293379,0.00977931
4,932.506,0.91033,5.80977,0.51667,0.64301,1.24824,0.81321,0.69685,0.81731,0.60752,0.72136,0.42755,0.42428,0.13376,1.09148,5.60186,0.21486,1.25228,1.48468,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1160.2,0.8787,5.28427,0.44821,0.60955,1.22701,0.92635,0.89284,0.95941,0.75173,0.74792,0.60749,0.57552,0.33609,0.85336,3.8769,0.15576,0.67808,1.23298,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1388.93,0.85055,4.95177,0.41103,0.58405,1.20387,0.93865,0.92609,0.9723,0.78192,0.63515,0.51854,0.40762,0.21701,0.7866,4.39595,0.16021,0.48433,1.18067,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1617.05,0.82196,4.67276,0.38291,0.55732,1.18426,0.93479,0.9098,0.96326,0.77259,0.79931,0.65374,0.65299,0.41676,0.82475,3.40363,0.11571,0.52267,1.20478,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1844.66,0.80444,4.47141,0.36609,0.53865,1.17589,0.94524,0.93781,0.97683,0.78539,0.81871,0.67465,0.68512,0.47451,0.79022,3.08332,0.10615,0.4465,1.14723,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2072.77,0.78685,4.27651,0.35224,0.52374,1.16415,0.93901,0.86874,0.91005,0.72939,0.87916,0.66025,0.67972,0.46061,0.87663,3.43341,0.14927,0.74117,1.21611,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2299.83,0.77563,4.17312,0.34164,0.50941,1.15839,0.93467,0.9481,0.97627,0.78436,0.77621,0.64713,0.60318,0.40704,0.80745,3.34218,0.09401,0.44455,1.15412,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
