epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,292.087,1.02001,10.1406,0.69232,0.99906,1.3931,0.96264,0.94242,0.98446,0.78851,0,0,0,0,0.80779,8.95472,0.56379,0.43499,1.15464,0.00993056,0.00331019,0.00993056,0.00331019,0.00993056,0.00331019,0.00993056,0.00331019
2,560.233,0.79791,7.53168,0.64331,0.51823,1.17498,0.94946,0.9257,0.97196,0.76531,0.22658,0.15382,0.05743,0.01011,0.83892,6.65932,0.4033,0.5593,1.26913,0.0197332,0.00657775,0.0197332,0.00657775,0.0197332,0.00657775,0.0197332,0.00657775
3,828.335,0.85246,6.20042,0.59221,0.57155,1.2039,0.84984,0.70498,0.81801,0.54759,0.45399,0.29808,0.17637,0.04172,1.38156,6.52566,0.34777,2.0982,1.75666,0.0293379,0.00977931,0.0293379,0.00977931,0.0293379,0.00977931,0.0293379,0.00977931
4,1095.59,0.89988,5.62889,0.52334,0.61999,1.23412,0.90521,0.86164,0.93979,0.71352,0.625,0.42322,0.31368,0.08981,0.93947,5.42485,0.21318,0.67933,1.33265,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1363.58,0.85951,5.03999,0.45322,0.58134,1.20794,0.92674,0.93344,0.9679,0.76028,0.83602,0.62266,0.64288,0.3815,0.81784,3.63364,0.15642,0.49978,1.2265,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1631.49,0.83578,4.72397,0.40851,0.55537,1.18756,0.94834,0.92468,0.96873,0.7796,0.78932,0.62686,0.61279,0.38868,0.80242,3.64767,0.13434,0.47658,1.17591,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1899.42,0.80327,4.47602,0.38026,0.53196,1.1653,0.94109,0.93781,0.97184,0.78308,0.81598,0.67356,0.68318,0.44713,0.77807,3.20258,0.11485,0.47908,1.13797,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2171.86,0.78319,4.27263,0.36218,0.50748,1.15294,0.95513,0.96381,0.98482,0.82156,0.82662,0.70282,0.70739,0.45945,0.69559,2.90382,0.0768,0.38282,1.08129,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2441.34,0.76497,4.09454,0.34546,0.49271,1.14473,0.95777,0.94826,0.9774,0.8043,0.82642,0.69441,0.69865,0.44755,0.73301,3.01204,0.09029,0.44311,1.12876,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2713.11,0.75838,3.99366,0.33502,0.48463,1.13937,0.95489,0.96062,0.98621,0.82396,0.78171,0.70728,0.66853,0.45348,0.68221,2.97751,0.07857,0.37452,1.07141,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2980.62,0.73903,3.82679,0.32178,0.47046,1.1296,0.9558,0.96173,0.9875,0.83047,0.82879,0.73276,0.72208,0.50539,0.66894,2.6426,0.07887,0.35681,1.0639,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3248.14,0.73562,3.7905,0.31518,0.46624,1.12928,0.9636,0.96151,0.98667,0.82561,0.81621,0.73047,0.71705,0.50965,0.68048,2.6906,0.06969,0.36329,1.06894,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
