epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,296.548,1.34647,10.1196,0.7315,1.44579,0.02536,16.9868,0.93479,0.91337,0.96853,0.6912,0.03697,0.02447,0.001,0.00013,1.1117,7.64342,0.67182,0.4767,0.0258,0,0.00993056,0.00331019,0.00993056,0.00331019,0.00993056,0.00331019,0.00993056,0.00331019
2,569.659,1.04075,6.71053,0.67996,0.63925,0.01864,7.65911,0.92688,0.91433,0.97103,0.74091,0.72847,0.50875,0.46705,0.16858,0.9519,4.48263,0.43011,0.43566,0.02229,0,0.0197332,0.00657775,0.0197332,0.00657775,0.0197332,0.00657775,0.0197332,0.00657775
3,840.629,1.03528,5.4764,0.59187,0.601,0.01875,6.0545,0.90041,0.89486,0.95055,0.6916,0.40873,0.33236,0.16653,0.03821,1.06989,5.29826,0.34964,0.53093,0.02674,0,0.0293379,0.00977931,0.0293379,0.00977931,0.0293379,0.00977931,0.0293379,0.00977931
4,1111.45,1.05588,5.0143,0.51612,0.62579,0.0192,5.40048,0.93734,0.89843,0.95921,0.7043,0.70841,0.5295,0.48644,0.25788,1.06099,4.17278,0.26356,0.46138,0.02652,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1386.4,1.02978,4.56618,0.44654,0.59856,0.01874,4.86063,0.8813,0.74559,0.84435,0.59874,0.72339,0.47088,0.43636,0.23255,1.19434,4.96346,0.2778,0.9487,0.03024,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1661.63,1.01598,4.27138,0.40466,0.57,0.01827,4.33662,0.94075,0.93437,0.97503,0.74431,0.79895,0.69568,0.69292,0.43456,0.95785,2.99792,0.20869,0.40839,0.02381,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1932.45,0.9821,3.983,0.37431,0.54836,0.01748,3.93976,0.95182,0.94304,0.98299,0.76392,0.79581,0.71819,0.71429,0.42369,0.88561,2.92163,0.16431,0.35127,0.02132,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2202.33,0.96149,3.76337,0.35412,0.51934,0.01711,3.61186,0.95396,0.94839,0.98322,0.78533,0.81635,0.74207,0.7225,0.50679,0.81979,2.48548,0.15173,0.34425,0.01959,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2472.25,0.95584,3.65142,0.33845,0.52125,0.01706,3.4333,0.94159,0.94911,0.98093,0.78427,0.8522,0.72983,0.76296,0.55761,0.82211,2.40465,0.14365,0.36678,0.01914,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2744.24,0.93848,3.54759,0.32722,0.50273,0.01663,3.23677,0.9511,0.94801,0.98378,0.79638,0.82215,0.76284,0.76992,0.56017,0.78764,2.30363,0.13173,0.33145,0.0184,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3016.58,0.93224,3.40165,0.31333,0.50255,0.01653,3.08826,0.94634,0.95063,0.9838,0.78607,0.83988,0.74525,0.75965,0.55366,0.83061,2.39596,0.1245,0.33276,0.02,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3288.49,0.92755,3.36669,0.30771,0.49214,0.01653,2.99459,0.94423,0.95017,0.98443,0.80417,0.80784,0.73932,0.72411,0.53247,0.76472,2.40805,0.13152,0.33564,0.01742,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3560.17,0.92022,3.30759,0.30221,0.49365,0.01625,2.83542,0.95184,0.94393,0.97793,0.7755,0.75704,0.68733,0.62978,0.45967,0.84267,2.83258,0.11087,0.36845,0.01947,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3832.37,0.91323,3.24056,0.295,0.48452,0.01613,2.77515,0.95489,0.955,0.98638,0.80074,0.8415,0.79164,0.79683,0.61522,0.78866,2.0828,0.11669,0.31921,0.01878,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4105.08,0.90849,3.15651,0.28787,0.47834,0.01598,2.604,0.94841,0.95947,0.98643,0.8024,0.84563,0.78118,0.78748,0.60902,0.7859,2.10077,0.12253,0.30228,0.0176,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4376.55,0.89579,3.09912,0.28299,0.46231,0.01567,2.46438,0.95559,0.95693,0.98518,0.80529,0.84279,0.78086,0.76768,0.58004,0.77046,2.16441,0.10149,0.31292,0.01794,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4650.73,0.89052,3.00121,0.27692,0.44985,0.0156,2.36061,0.95601,0.96109,0.98473,0.79388,0.82242,0.78259,0.75062,0.56744,0.81267,2.22426,0.11075,0.30682,0.01923,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4921.85,0.88017,2.96324,0.27201,0.44452,0.0154,2.26039,0.95575,0.95795,0.98574,0.80507,0.80134,0.74794,0.70378,0.54394,0.77235,2.2985,0.10391,0.30464,0.01776,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5194.14,0.87615,2.94153,0.26941,0.44909,0.01526,2.21148,0.9627,0.96699,0.98826,0.82149,0.84868,0.80489,0.8074,0.64299,0.72041,1.94853,0.08369,0.27866,0.0167,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5466.09,0.87636,2.93311,0.26657,0.45023,0.01532,2.21234,0.95048,0.96625,0.98793,0.83269,0.84129,0.78425,0.78758,0.62445,0.68608,2.05158,0.08641,0.2872,0.01559,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5737.79,0.86619,2.875,0.26325,0.44791,0.01513,2.13177,0.96578,0.96392,0.98845,0.82339,0.78458,0.75378,0.69662,0.54665,0.71395,2.3231,0.09775,0.28453,0.01622,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6008.81,0.85646,2.83678,0.26283,0.43296,0.01484,2.02187,0.96283,0.9671,0.98745,0.83905,0.84433,0.80591,0.78075,0.62565,0.67134,1.94415,0.09759,0.27151,0.0152,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6283.4,0.86107,2.8592,0.25964,0.43903,0.01486,2.00924,0.96374,0.95853,0.98743,0.81865,0.8525,0.81942,0.81072,0.63989,0.71881,1.92863,0.09052,0.28919,0.01655,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6553.23,0.8595,2.80374,0.25784,0.43979,0.01505,1.97545,0.96225,0.96489,0.98775,0.83148,0.85757,0.82103,0.81531,0.65158,0.68827,1.82989,0.08657,0.28202,0.0157,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6822.39,0.8452,2.76978,0.25582,0.43248,0.01464,1.88689,0.96423,0.96883,0.98878,0.82236,0.84792,0.80571,0.79263,0.6295,0.7054,1.94918,0.08703,0.27626,0.01604,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7090.59,0.85045,2.76654,0.25421,0.42963,0.01481,1.89825,0.96565,0.95578,0.98744,0.82443,0.86024,0.81574,0.81415,0.65258,0.71906,1.89526,0.08452,0.2935,0.01612,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7359.34,0.83952,2.68605,0.25231,0.42403,0.01459,1.77978,0.96312,0.96534,0.98875,0.82993,0.87402,0.8302,0.83727,0.67542,0.6857,1.74523,0.08257,0.26897,0.01587,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7632,0.83997,2.68897,0.24878,0.42025,0.01463,1.76296,0.97038,0.96801,0.98934,0.84601,0.87064,0.81993,0.8199,0.65761,0.65103,1.81396,0.08127,0.2581,0.01454,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7901.94,0.83838,2.65478,0.24792,0.42314,0.01448,1.66956,0.96655,0.9685,0.98894,0.83858,0.84581,0.82838,0.80907,0.65375,0.6746,1.8276,0.08128,0.26568,0.01547,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8169.82,0.82935,2.60375,0.24628,0.41773,0.01436,1.6381,0.95996,0.9675,0.98839,0.84266,0.87367,0.82754,0.83742,0.68939,0.66056,1.70277,0.08436,0.26788,0.01503,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8440.1,0.8236,2.62104,0.24542,0.41656,0.01421,1.61375,0.97081,0.96317,0.98935,0.83723,0.86537,0.82897,0.83108,0.68123,0.67981,1.74326,0.07704,0.25971,0.01526,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8711.91,0.82033,2.58522,0.24341,0.41384,0.01415,1.54868,0.96457,0.96456,0.98901,0.84448,0.87483,0.82758,0.83014,0.67519,0.65668,1.71493,0.07902,0.26152,0.01486,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8982.44,0.81791,2.57292,0.24251,0.41163,0.01413,1.54889,0.96288,0.97158,0.98859,0.84253,0.86977,0.83178,0.83275,0.6799,0.65496,1.70064,0.07492,0.25903,0.01476,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9252.71,0.80848,2.53428,0.23959,0.39776,0.01396,1.50083,0.9732,0.9717,0.98992,0.85461,0.88055,0.85013,0.84967,0.69539,0.61883,1.58679,0.08325,0.24251,0.01369,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9523.38,0.80973,2.51927,0.24053,0.40482,0.01394,1.4707,0.97272,0.96929,0.98931,0.85323,0.86478,0.84268,0.83588,0.69439,0.63653,1.67285,0.07564,0.2495,0.01426,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
