epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,332.554,1.25921,9.7595,0.74022,1.2434,0.02359,16.4145,0.93783,0.92855,0.97576,0.75248,0.29217,0.18236,0.06868,0.01051,0.93897,6.87705,0.62187,0.36738,0.02269,0,0.00993056,0.00331019,0.00993056,0.00331019,0.00993056,0.00331019,0.00993056,0.00331019
2,646.552,0.98299,6.26685,0.69796,0.55081,0.01757,7.07035,0.92317,0.86359,0.93265,0.70408,0.72747,0.52785,0.49417,0.17211,1.00401,4.60698,0.42501,0.55969,0.02455,0,0.0197332,0.00657775,0.0197332,0.00657775,0.0197332,0.00657775,0.0197332,0.00657775
3,961.029,1.01985,5.40213,0.60092,0.58721,0.01857,5.91939,0.90545,0.90914,0.9607,0.67311,0.62894,0.44044,0.40002,0.09816,1.14436,4.97001,0.27238,0.56681,0.02969,0,0.0293379,0.00977931,0.0293379,0.00977931,0.0293379,0.00977931,0.0293379,0.00977931
4,1272.43,1.07062,5.09283,0.51866,0.64109,0.01961,5.46335,0.9012,0.87753,0.94244,0.676,0.32804,0.26507,0.10421,0.03638,1.1238,6.31255,0.3015,0.51594,0.02836,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1585.2,1.03591,4.60382,0.4556,0.59218,0.01888,4.86981,0.93603,0.90557,0.95907,0.72939,0.61363,0.50707,0.40011,0.21385,0.98287,4.30444,0.21955,0.44025,0.02352,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1898.18,1.00148,4.23903,0.41505,0.56286,0.01801,4.27837,0.91532,0.91181,0.95247,0.69318,0.78957,0.63527,0.62959,0.38236,1.0626,3.25176,0.20648,0.45586,0.02638,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2209.29,0.96019,3.97588,0.38491,0.54329,0.01704,3.89542,0.94381,0.94049,0.97551,0.7715,0.74773,0.67083,0.61685,0.41374,0.86212,3.09948,0.17808,0.35622,0.02038,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2522.28,0.94231,3.71852,0.36371,0.50708,0.0167,3.56196,0.95813,0.94784,0.98078,0.77262,0.79945,0.71747,0.70965,0.51055,0.86297,2.64816,0.15615,0.32977,0.02072,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2833.37,0.92559,3.56741,0.34988,0.48887,0.01642,3.33004,0.95894,0.95535,0.98651,0.81204,0.83349,0.76501,0.76754,0.55693,0.74819,2.34773,0.13926,0.28525,0.0172,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3144.74,0.90145,3.41197,0.33962,0.46458,0.01581,3.06758,0.95239,0.95068,0.98138,0.7861,0.82237,0.76465,0.76323,0.57012,0.82086,2.27645,0.13489,0.31787,0.01949,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3456.64,0.89506,3.27598,0.32653,0.46998,0.01572,2.86986,0.95169,0.94397,0.98216,0.79396,0.83262,0.73595,0.75952,0.56904,0.79063,2.31517,0.13888,0.32545,0.01839,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3767.79,0.88074,3.22046,0.31893,0.46432,0.0155,2.74115,0.95567,0.95332,0.98591,0.81357,0.83905,0.77795,0.78665,0.60944,0.73374,2.12787,0.12461,0.29072,0.01681,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4079.58,0.8674,3.11605,0.31176,0.45152,0.01507,2.50571,0.95836,0.95693,0.98475,0.81303,0.84561,0.78081,0.78575,0.61746,0.73824,2.12154,0.13924,0.29903,0.01718,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4394.94,0.85479,3.04877,0.30416,0.4429,0.01481,2.47583,0.95965,0.95463,0.98694,0.82031,0.86334,0.78743,0.80306,0.63419,0.72531,2.03902,0.12282,0.27674,0.01624,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
